Subcategoría,Cantidad,Porcentaje (%)
Ciencia_Administracion_ciencia_investigacion,3195,43.97
Ciencias_polucion_catastrofes_seguridad,1566,21.55
Ciencias_ambientales_ingenieria,635,8.74
Ciencias_naturales,470,6.47
Ciencia_patologia,375,5.16
Ciencias_medicas,306,4.21
Ciencia_matematicas_estadistica,250,3.44
Ciencia_hidrologia,104,1.43
Ciencia_recursos_naturales,68,0.94
Ciencia_enfoque_cientifico,64,0.88
Ciencias_espacio,61,0.84
Ciencias_Geografia_oceanografia,49,0.67
Ciencia_biologia,36,0.5
Ciencias_metereologia,28,0.39
Ciencias_tierra,23,0.32
Ciencias_fisicas,20,0.28
Ciencias_quimicas,17,0.23
